City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
122,cabo san lucas,22.8909,-109.9124,298.32,50,0,2.57,MX,1678851176
123,jerantut,3.936,102.3626,302.92,50,79,1.07,MY,1678851177
124,longonjo,-12.9067,15.2533,288.92,97,100,0.74,AO,1678851177
125,tanabe,33.7333,135.3667,291.71,52,40,7.2,JP,1678851177
126,qandala,11.472,49.8728,298.46,73,18,2.14,SO,1678851178
127,atuona,-9.8,-139.0333,300.31,75,98,3.11,PF,1678851178
128,aklavik,68.2191,-135.0107,246.05,91,100,5.11,CA,1678851178
129,mao,39.8885,4.2658,284.46,82,0,2.57,ES,1678851179
130,christchurch,-43.5333,172.6333,293.38,66,20,8.23,NZ,1678851130
131,petropavlovsk-kamchatskiy,53.0452,158.6483,273.48,64,75,1.0,RU,1678851179
132,kungurtug,50.5994,97.5228,267.43,89,100,0.84,RU,1678850888
133,north bend,43.4065,-124.2243,280.85,83,75,3.6,US,1678851179
134,lagoa,39.05,-27.9833,288.26,81,100,14.1,PT,1678851180
135,apiai,-24.5094,-48.8425,292.64,89,100,1.79,BR,1678851180
136,pevek,69.7008,170.3133,255.2,85,49,3.98,RU,1678851181
137,oistins,13.0667,-59.5333,299.2,69,40,6.69,BB,1678851181
138,kupang,-10.1667,123.5833,305.47,74,40,3.09,ID,1678851181
139,amuntai,-2.4177,115.2494,304.84,58,91,0.46,ID,1678851182
140,santa cruz,-17.8,-63.1667,296.85,94,84,5.66,BO,1678850995
141,goundam,16.4145,-3.6708,299.74,15,24,3.81,ML,1678851182
142,knysna,-34.0363,23.0471,293.44,87,85,1.47,ZA,1678851186
143,quebrada larga,14.1,-86.3667,294.48,97,100,0.25,HN,1678851186
144,dalby,-27.1833,151.2667,306.47,44,9,1.34,AU,1678851186
145,syracuse,37.0881,15.2792,286.1,64,14,6.7,IT,1678851187
146,garissa,-0.4536,39.6401,298.25,73,82,3.01,KE,1678851187
147,namwala,-15.7504,26.4384,287.96,98,11,1.76,ZM,1678851187
148,axim,4.8699,-2.2405,299.58,86,13,3.47,GH,1678851188
149,chokurdakh,70.6333,147.9167,252.13,96,79,1.23,RU,1678851188
150,atar,20.5169,-13.0499,300.02,14,4,2.94,MR,1678851189
151,broome,42.2506,-75.833,271.74,86,100,6.69,US,1678851189
152,provideniya,64.3833,-173.3,260.21,43,0,1.0,RU,1678851190
153,dhidhdhoo,6.8833,73.1,300.72,78,6,4.45,MV,1678850977
154,asau,46.4333,26.4,272.75,48,100,1.71,RO,1678851191
155,biltine,14.5333,20.9167,296.25,15,44,6.12,TD,1678851191
156,touros,-5.1989,-35.4608,298.03,87,100,1.97,BR,1678851192
157,luau,-10.7073,22.2247,290.19,99,100,1.59,AO,1678851192
158,skibbereen,51.55,-9.2667,280.43,82,100,4.58,IE,1678851193
159,watrous,51.6668,-105.4679,265.03,79,90,5.66,CA,1678851193
160,norman wells,65.282,-126.8329,249.17,70,75,3.09,CA,1678851194
161,kahului,20.8947,-156.47,300.16,76,0,9.26,US,1678851194
162,ziway,7.9333,38.7167,289.92,80,100,1.73,ET,1678851194
163,saldanha,-33.0117,17.9442,291.29,92,0,3.84,ZA,1678851195
164,avarua,-21.2078,-159.775,300.18,69,20,5.66,CK,1678851195
165,neuquen,-38.9516,-68.0591,297.09,27,0,5.14,AR,1678851196
166,tsovazard,40.4709,45.0588,276.92,89,100,1.96,AM,1678851197
167,new norfolk,-42.7826,147.0587,297.43,43,81,1.34,AU,1678851197
168,payakumbuh,-0.2202,100.6308,299.57,72,97,1.57,ID,1678851198
169,tazovskiy,67.4667,78.7,263.84,91,46,7.37,RU,1678851199
170,sao filipe,14.8961,-24.4956,296.07,69,0,3.94,CV,1678851200
171,nieuwpoort,51.1244,2.7735,278.15,78,75,4.63,BE,1678851200
172,mahebourg,-20.4081,57.7,299.4,73,40,3.6,MU,1678851200
173,upernavik,72.7868,-56.1549,254.19,78,100,2.45,GL,1678851201
174,kabompo,-13.5927,24.2008,288.82,99,100,2.0,ZM,1678851201
175,laguna,38.421,-121.4238,285.79,83,40,9.26,US,1678851202
176,shimanovsk,52.0,127.7,267.11,87,100,2.77,RU,1678851202
177,saskylakh,71.9167,114.0833,256.61,87,49,5.19,RU,1678851203
178,roswell,34.0232,-84.3616,277.34,59,0,4.12,US,1678851184
